data-collector,resource-catalog,resource-discovery,kong
0,0,0,0
3,3,12,4
4,4,12,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,5,4
4,4,5,4
4,4,5,4
4,4,5,4
4,4,5,4
5,5,6,4
5,5,6,4
5,5,6,4
5,5,6,4
5,5,6,4
6,6,8,4
6,6,8,4
6,6,8,4
6,6,8,4
8,8,8,4
8,8,11,4
8,8,11,4
8,8,11,4
10,10,11,4
10,10,11,4
10,10,11,4
10,10,11,4
10,10,11,4
12,10,13,4
12,12,13,4
12,12,13,4
12,12,13,4
14,12,13,4
14,12,15,4
14,14,15,4
14,14,15,4
14,14,15,4
14,14,15,4
13,14,15,4
13,14,15,4
13,17,17,4
13,17,17,4
13,17,17,4
11,17,17,4
11,17,17,4
11,14,17,4
11,14,17,4
16,14,17,4
16,14,17,4
16,14,17,4
16,17,19,4
19,17,19,4
19,17,19,4
19,17,19,4
19,22,23,4
21,22,23,4
21,22,23,4
21,22,23,4
21,22,23,4
21,26,23,4
24,26,27,4
24,26,27,4
24,26,27,4
24,26,27,4
24,26,27,4
20,26,23,4
20,23,23,4
20,23,23,4
20,23,23,4
20,23,23,4
20,23,23,4
17,23,19,4
17,19,19,4
17,19,19,4
17,19,19,4
19,19,19,4
19,21,21,4
19,21,21,4
19,21,21,4
19,21,21,4
19,21,21,4
15,21,21,4
15,21,21,4
15,21,19,4
15,21,19,4
15,21,19,4
21,24,24,4
21,24,24,4
21,24,24,4
21,24,24,4
21,24,24,4
16,24,24,4
16,20,22,4
16,20,22,4
16,20,22,4
19,23,22,4
19,23,22,4
19,23,22,4
19,23,20,4
19,23,20,4
19,23,20,4
15,17,20,4
15,17,20,4
15,17,20,4
15,17,13,4
15,17,13,4
15,17,13,4
10,12,13,4
10,12,13,4
10,12,13,4
10,12,10,4
10,12,10,4
7,7,10,4
7,7,10,4
7,7,10,4
7,7,6,4
7,7,6,4
7,7,6,4
4,4,6,4
4,4,6,4
4,4,6,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
