data-collector,resource-catalog,resource-discovery,kong
0,0,0,0
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,5,4
4,4,5,4
4,4,5,4
4,4,5,4
4,5,6,4
4,5,6,4
5,5,6,4
5,5,6,4
5,5,6,4
6,7,6,4
6,7,8,4
6,7,8,4
6,7,8,4
6,7,8,4
7,7,8,4
7,7,8,4
7,7,10,4
7,9,10,4
11,9,10,4
11,9,10,4
11,9,10,4
11,9,10,4
13,11,12,4
13,11,12,4
13,11,12,4
13,11,12,4
13,13,12,4
13,13,12,4
13,13,14,4
13,13,14,4
13,13,14,4
13,13,14,4
13,13,14,4
12,12,13,4
12,12,13,4
12,12,13,4
12,12,13,4
12,12,13,4
12,12,13,4
14,13,15,4
14,14,15,4
14,14,15,4
14,14,15,4
14,14,17,4
16,16,17,4
16,16,17,4
16,16,17,4
16,19,20,4
19,20,20,4
19,20,20,4
19,20,20,4
19,21,23,4
22,23,23,4
22,23,23,4
22,23,23,4
22,23,23,4
22,23,23,4
22,23,23,4
20,23,23,4
20,23,23,4
20,23,23,4
20,23,20,4
20,23,20,4
16,19,20,4
16,19,20,4
16,19,20,4
16,19,20,4
16,19,20,4
16,19,20,4
16,19,20,4
16,19,20,4
18,19,20,4
18,21,20,4
18,21,20,4
18,21,20,4
18,21,22,4
18,21,22,4
18,21,22,4
18,21,22,4
18,21,22,4
20,24,22,4
20,24,22,4
20,24,22,4
20,24,22,4
20,24,22,4
20,24,22,4
18,20,22,4
18,20,22,4
18,20,22,4
18,20,20,4
18,20,20,4
16,17,20,4
16,17,20,4
16,17,20,4
16,17,20,4
16,17,14,4
16,17,14,4
10,13,14,4
10,13,14,4
10,13,14,4
10,13,14,4
10,13,9,4
10,13,9,4
6,7,9,4
6,7,9,4
6,7,9,4
6,7,9,4
6,7,5,4
6,7,5,4
4,4,5,4
4,4,5,4
4,4,5,4
4,4,5,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
