data-collector,resource-catalog,resource-discovery,kong
0,0,0,0
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,3
4,4,4,4
4,4,4,4
4,3,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,5,4
4,4,5,4
4,4,5,4
5,4,5,4
5,5,6,4
5,5,6,4
5,5,6,4
5,5,6,4
5,5,6,4
5,5,6,4
5,5,7,4
6,6,7,4
6,6,7,4
6,6,8,4
7,6,9,4
8,7,9,4
8,7,9,4
8,7,9,4
10,7,9,4
10,9,9,4
10,9,12,4
10,9,12,4
10,9,12,4
13,11,12,4
13,11,12,4
13,11,12,4
13,11,12,4
13,11,14,4
13,11,14,4
13,13,14,4
13,13,14,4
15,13,14,4
15,13,14,4
15,13,14,4
15,13,16,4
15,13,16,4
13,12,16,4
13,12,16,4
13,12,16,4
13,12,16,4
15,14,16,4
15,14,16,4
15,14,16,4
15,14,19,4
17,14,19,4
17,15,19,4
17,16,22,4
17,16,22,4
22,16,22,4
22,16,22,4
22,19,22,4
22,19,22,4
22,19,25,4
22,22,25,4
22,23,25,4
22,23,25,4
22,23,25,4
19,23,25,4
19,23,25,4
19,23,25,4
19,23,25,4
19,23,25,4
19,20,25,4
19,20,23,4
17,20,23,4
17,20,23,4
17,20,23,4
17,18,23,4
17,18,21,4
19,18,21,4
19,18,21,4
19,18,21,4
19,18,21,4
19,20,21,4
19,20,21,4
19,20,21,4
19,20,21,4
19,20,21,4
19,20,24,4
19,20,24,4
19,20,24,4
19,20,24,4
19,20,24,4
19,20,24,4
19,20,24,4
19,20,24,4
19,20,22,4
19,20,22,4
19,20,22,4
19,20,22,4
19,20,22,4
17,20,22,4
17,20,22,4
17,18,20,4
17,18,20,4
17,18,20,4
12,18,20,4
12,18,20,4
12,12,13,4
12,12,13,4
12,12,13,4
12,12,13,4
8,12,13,4
8,12,13,4
8,8,9,4
8,8,9,4
8,8,9,4
8,8,9,4
5,8,9,4
5,8,9,4
5,4,6,4
5,4,6,4
5,4,6,4
5,4,6,4
4,4,6,4
4,4,6,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
