data-collector,resource-catalog,resource-discovery,kong
0,0,0,0
4,4,12,4
4,4,10,4
4,4,10,4
4,4,10,4
4,4,10,4
4,4,10,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,5,4
4,4,5,4
4,4,5,4
5,4,5,4
5,4,5,4
5,4,5,4
5,5,6,4
5,5,6,4
5,5,6,4
5,5,6,4
5,5,6,4
5,5,6,4
5,5,6,4
6,5,6,4
6,7,8,4
6,7,8,4
6,7,8,4
9,7,8,4
9,8,8,4
9,8,8,4
9,8,8,4
9,8,8,4
11,10,10,4
11,10,10,4
11,10,10,4
11,10,10,4
11,10,10,4
11,10,12,4
11,10,12,4
11,10,12,4
13,12,12,4
13,12,14,4
13,12,14,4
13,14,14,4
13,14,14,4
15,14,14,4
15,14,14,4
15,14,14,4
15,12,13,4
15,12,13,4
15,12,13,4
13,12,13,4
13,14,13,4
13,14,15,4
13,14,15,4
15,14,15,4
15,14,15,4
15,15,17,4
15,16,17,4
19,16,17,4
19,16,17,4
19,18,21,4
19,18,21,4
19,18,21,4
19,18,21,4
19,20,21,4
19,21,21,4
19,21,21,4
19,21,21,4
19,21,21,4
19,21,21,4
19,21,21,4
19,21,21,4
19,21,21,4
19,21,21,4
19,21,21,4
17,18,19,4
17,18,19,4
17,18,19,4
17,18,19,4
17,18,19,4
17,18,21,4
17,18,21,4
17,21,21,4
17,21,21,4
17,21,21,4
19,21,21,4
19,21,21,4
19,24,21,4
19,24,21,4
19,24,18,4
19,24,18,4
16,24,18,4
16,24,18,4
16,24,18,4
16,24,18,4
16,24,18,4
16,23,18,4
16,22,18,4
16,21,18,4
16,20,18,4
14,21,18,4
14,21,18,4
14,23,18,4
14,18,16,4
14,18,16,4
14,18,16,4
14,18,16,4
14,18,16,4
12,18,16,4
12,12,14,4
12,12,14,4
12,12,14,4
12,12,14,4
9,12,14,4
9,12,14,4
9,8,9,4
9,8,9,4
9,8,9,4
9,8,9,4
5,8,9,4
5,8,9,4
5,5,5,4
5,5,5,4
5,5,5,4
5,5,5,4
4,5,5,4
4,5,5,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
